,product_id,title,link,onlineRegular,onlineDiscount,prices_shop,brand
0,642122,"Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе, 750г",/products/nescafe-s-dobavleniem-naturalnogo-zharenogo-molotogo-gold-750g,2399,1599,"[(1599, 'от 1 шт')]","('NESCAF',)"
1,122743,"Кофе Nescafe Gold растворимый сублимированный с добавлением натурального жареного молотого кофе, 900г",/products/kofe-nescafe-gold-rastvorimiy-sublimirovanniy-s-dobavleniem-naturalnogo-zharenogo-molotogo-kofe-900g,2269,1899,"[(1799, 'от 1 шт')]","('NESCAF',)"
2,407889,"Кофе Bushido Original растворимый, 100г",/products/bushido-sublimirovannyj-original-100g,899,649,"[(589, 'от 1 шт'), (535, 'от 6 шт')]","('BUSHIDO',)"
3,287768,"RIOBA Кофе в зернах натуральный жареный 100% арабика Espresso, 1кг",/products/rioba-v-zernah-naturalnyj-zharenyj-100-arabika-espresso-1kg,1529,1199,"[(1199, 'от 1 шт')]","('RIOBA',)"
4,580564,"Кофе Egoiste Arabica Premium натуральный жареный в зернах, 1кг",/products/egoiste-v-zernah-naturalnyj-zharenyj-arabica-premium-1kg,2099,1499,"[(1599, 'от 1 шт')]","('EGOISTE',)"
5,598958,"Кофе Bushido Kodo растворимый, 95г",/products/bushido-v-kristallah-kodo-95g,989,649,"[(589, 'от 1 шт')]","('BUSHIDO',)"
6,112993,"Кофе Egoiste трюфель крема в зернах, 1кг",/products/kofe-v-zernah-egoiste-tryufel-krema-1kg,2199,1599,"[(1599, 'от 1 шт')]","('EGOISTE',)"
7,427833,"Кофе Lavazza Qualita Oro натуральный жареный в зернах, 1кг",/products/v-zernah-lavazza-naturalnyj-zharenyj-qualita-oro-1kg,2249,2049,"[(1999, 'от 1 шт')]","('LAVAZZA',)"
8,546341,"Кофе Ambassador Nero Espresso Roast в зернах, 1кг",/products/ambassador-v-zernah-naturalnyj-zharenyj-nero-1kg,899,799,"[(749, 'от 1 шт'), (639, 'от 6 шт')]","('AMBASSADOR',)"
9,287769,"RIOBA Кофе в зернах натуральный жареный 80:20, 1кг",/products/rioba-v-zernah-naturalnyj-zharenyj-gold-1kg,1529,1149,"[(1099, 'от 1 шт')]","('RIOBA',)"
10,59002,"Кофе Bushido Sensei молотый, 227г",/products/art-59002,739,469,"[(449, 'от 1 шт')]","('BUSHIDO',)"
